route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,trip_short_name
11-MRe-2-y08-1,T2,3.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,4.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,5.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,6.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,7.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,8.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,9.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,10.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,11.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,12.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,13.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,14.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,15.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,16.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,17.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,18.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,19.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,20.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,21.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,22.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,23.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,24.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,25.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,26.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,27.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,28.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,29.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,30.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,31.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,32.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,33.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,34.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,35.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,36.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,37.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,38.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,39.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,40.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,41.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,42.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,43.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,44.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,45.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,46.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,47.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,48.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,49.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,50.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,51.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,52.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,53.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,54.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,55.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,56.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,57.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,58.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,59.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,60.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,61.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,62.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,63.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,64.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,65.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,66.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,67.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,68.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,69.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,70.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,71.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,72.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,73.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,74.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,75.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
11-MRe-2-y08-1,T2,76.T2.11-MRe-2-y08-1.74.R,11-MRe-2-y08-1.74.R,centrepoint Metro Station,1,,
